Name,User #,Discord,Time Zone,TZ#,Tier,Zone,Division
Beachcomber,,@tluffingham#3344,Europe/London,1:00,F,EU,F15
BeXXsoR,5334,@BeXXsoR#4398,Europe/Berlin,2:00,F,EU,F15
bizaff,6168,@bizaff#7745,America/Denver,-6:00,F,AMW,F9
blablablabla,,@blablablabla#5694,Asia/Calcutta,5:30,F,AS,F11
BobKrier,5368,@Bob#7322,America/Denver,-6:00,F,AMW,F10
BobMathrotus,7000,@BobMathrotus#1689,America/Montreal,-4:00,F,AME,F6
Briawna,6639,@playfulpuffin#6217,America/Denver,-6:00,F,AMW,F8
britchken,,@Pico Paco#0571,America/New_York,-4:00,F,AME,F5
britishsensation,,@thebritishsensation#0689,Europe/London,1:00,F,EU,F
Caetra,,@Caetra#5203,America/New_York,-4:00,F,AME,F2
CasualxMajestic,,@Fantasy X#8025,Europe/Berlin,2:00,F,EU,F15
cferens,,@cferens#3967,America/Chicago,-5:00,F,ATL,F12
chocojoe,,@ChocoJoe#6451,Asia/Tokyo,9:00,F,AS,F11
col_dax,,@col_dax#0586,America/Los_Angeles,-7:00,F,AMW,
CoweringCow,6122,@CoweringCow#5625,America/New_York,-4:00,F,AME,F3
della,5630,@della#1874,Europe/Paris,2:00,F,EU,F14
dghunter79,270,@dghunter#4269,America/Los_Angeles,-7:00,F,AMW,F9
Dominanz,,@Dominanz#1905,Europe/Berlin,2:00,F,EU,F16
Dominion Beast,,@Dominion Beast#4262,America/Toronto,-4:00,F,AME,F5
dylanmatthews,5833,@dylanmatthews#5938,America/New_York,-4:00,F,AME,F3
Emeric,1751,@Emeric#6817,Europe/Paris,2:00,F,EU,F15
erinblack,,@erinblack#9185,America/Denver,-6:00,F,AMW,F10
eskoglund,5512,@eskoglund#6989,America/Chicago,-5:00,F,AME,F2
flel,,@flel#5286,America/New_York,-4:00,F,AME,F6
Gordoo,,@gordoo#2341,America/Los_Angeles,-7:00,F,AMW,F10
graceg,,@graceg#8588,Asia/Singapore,8:00,F,AS,F11
Grafpaper,,@Grafpaper#3501,America/Chicago,-5:00,F,AME,F1
Hackybaby,7067,@(>^ .^)>hackybaby#6862,Europe/Berlin,2:00,F,EU,F
Hamlet the Dane,5746,@DBM000#9829,America/Chicago,-5:00,F,AME,F2
hannibal6,6037,@Hannibal6#5581,America/New_York,-4:00,F,AME,F1
hwquidfwqhbcw,,@Greetings#2128,America/Los_Angeles,-7:00,F,AMW,F8
IbnSina,,@Luna Victa#5023,America/New_York,-4:00,F,AME,F6
