Score,Season,Players,Score,P1,P2,P1 Wins,P2 Wins,Tier
,42,,,mistgun,namek,3,3,E7
,42,,,namek,JaCrispyKing,1,1,E7
,42,,,mistgun,TonyWild,4,2,E7
,42,,,assemble me,Micha1980,5,1,E8
,42,,,Micha1980,Sharapopovamaria,4,2,E8
,42,,,Micha1980,Neqativ,3,3,E8
,42,,,Sharapopovamaria,identisick,4,2,E8
,42,,,assemble me,Emeric,4,2,E8
,42,,,Neqativ,Sharapopovamaria,4,2,E8
,42,,,Emeric,identisick,3,3,E8
,42,,,Emeric,Micha1980,5,1,E8
,42,,,identisick,Micha1980,4,2,E8
,42,,,Neqativ,assemble me,2,1,E8
,42,,,Neqativ,assemble me,2,1,E8
,42,,,Neqativ,Emeric,6,0,E8
,42,,,Neqativ,identisick,3.5,2.5,E8
,42,,,Sharapopovamaria,assemble me,3,3,E8
,42,,,assemble me,identisick,5,1,E8
,42,,,Sharapopovamaria,Emeric,4.5,1.5,E8
,42,,,PandaBearGuy,Grafpaper,4,2,F1
,42,,,maxw1717,PandaBearGuy,5,1,F1
,42,,,maxw1717,madronefive,6,0,F1
,42,,,billdacat,madronefive,3,3,F1
,42,,,Grafpaper,madronefive,4,2,F1
,42,,,Grafpaper,maxw1717,2.5,3.5,F1
,42,,,maxw1717,alion8me,3,2,F1
,42,,,maxw1717,alion8me,0,1,F1
,42,,,maxw1717,billdacat,2,3,F1
,42,,,alion8me,Grafpaper,5,1,F1
,42,,,billdacat,maxw1717,1,0,F1
,42,,,alion8me,billdacat,4,2,F1
,42,,,PandaBearGuy,madronefive,4,2,F1
,42,,,PandaBearGuy,billdacat,3,1,F1
,42,,,alion8me,madronefive,5,1,F1
,42,,,alion8me,PandaBearGuy,3,3,F1
,42,,,billdacat,PandaBearGuy,1,1,F1
,42,,,Grafpaper,billdacat,2,2,F1
,42,,,Grafpaper,billdacat,1,1,F1
,42,,,Redly,zipzip,4,2,F2
,42,,,Lard Rattington,mindgames3530,6,0,F2
,42,,,Fullwagon,Lard Rattington,4,2,F2
,42,,,zipzip,mindgames3530,2,4,F2
,42,,,oshiimine,mindgames3530,5,1,F2
,42,,,Lard Rattington,zipzip,4,2,F2
,42,,,Fullwagon,mindgames3530,3,3,F2
,42,,,Fullwagon,oshiimine,3,3,F2
,42,,,oshiimine,Redly,5,1,F2
,42,,,Fullwagon,zipzip,4,2,F2
,42,,,Lard Rattington,oshiimine,3,3,F2
,42,,,Redly,Fullwagon,4,2,F2
,42,,,zipzip,oshiimine,2,4,F2
,42,,,Redly,mindgames3530,3,3,F2
,42,,,Lard Rattington,Redly,4,2,F2
,42,,,fireonice,Luther,4,0,F3
,42,,,maltman,fireonice,2,0,F3
,42,,,unagi.don,maltman,2,2,F3
,42,,,maltman,melders,4,1,F3
,42,,,fireonice,hezeheze,5,1,F3
,42,,,maltman,Luther,1,0,F3
,42,,,Luther,melders,0,3,F3
,42,,,maltman,Luther,3,0,F3
,42,,,fireonice,Luther,2,0,F3
,42,,,Luther,hezeheze,3,3,F3
,42,,,fireonice,melders,4,2,F3
,42,,,hezeheze,unagi.don,3.5,2.5,F3
,42,,,maltman,melders,1,0,F3
,42,,,hezeheze,melders,6,0,F3
,42,,,fireonice,unagi.don,4,2,F3
,42,,,fireonice,maltman,2,2,F3
,42,,,maltman,unagi.don,1,1,F3
,42,,,maltman,hezeheze,5,1,F3
,42,,,melders,unagi.don,1,5,F3
,42,,,melders,Luther,2,1,F3
,42,,,unagi.don,Luther,3,3,F3
,42,,,maltman,Luther,1,1,F3
,42,,,icul,mglagrla,4,2,F4
,42,,,icul,Chopalot3,2,4,F4
,42,,,Moonshadow70,icul,1,2,F4
,42,,,Chopalot3,jdizzle111,3,0,F4
,42,,,Chopalot3,mglagrla,4,2,F4
,42,,,icul,Valric,3,3,F4
,42,,,Valric,Chopalot3,4,2,F4
,42,,,icul,jdizzle111,3,0,F4
,42,,,Moonshadow70,Chopalot3,1,2,F4
,42,,,icul,Moonshadow70,3,0,F4
,42,,,Chopalot3,Moonshadow70,3,0,F4
,42,,,Chopalot3,jdizzle111,3,0,F4
,42,,,Valric,mglagrla,2,1,F4
,42,,,Valric,mglagrla,3,0,F4
,42,,,mglagrla,jdizzle111,2,1,F4
,42,,,icul,jdizzle111,1,2,F4
,42,,,Moonshadow70,mglagrla,2,1,F4
,42,,,mglagrla,Moonshadow70,3,0,F4
,42,,,Valric,jdizzle111,3,0,F4
,42,,,Valric,Moonshadow70,2,1,F4
,42,,,mglagrla,jdizzle111,1,2,F4
,42,,,Moonshadow70,Valric,3,0,F4
,42,,,Moonshadow70,jdizzle111,2,1,F4
,42,,,jdizzle111,Moonshadow70,3,0,F4
,42,,,jdizzle111,Valric,2,1,F4
,42,,,sportingelijah,sillle14,3,3,F5
,42,,,AlanDaTalon,byrne,2,4,F5
,42,,,scottc,GaryOfPgh2,3,3,F5
,42,,,sillle14,GaryOfPgh2,3,3,F5
,42,,,scottc,sportingelijah,3,3,F5
,42,,,AlanDaTalon,GaryOfPgh2,2,0,F5
,42,,,byrne,sillle14,3,3,F5
,42,,,AlanDaTalon,GaryOfPgh2,1.5,0.5,F5
,42,,,AlanDaTalon,GaryOfPgh2,2,0,F5
,42,,,scottc,AlanDaTalon,2,4,F5
,42,,,sportingelijah,byrne,3,3,F5
,42,,,sportingelijah,GaryOfPgh2,5,1,F5
,42,,,byrne,scottc,4,2,F5
,42,,,sillle14,AlanDaTalon,3,3,F5
,42,,,GaryOfPgh2,byrne,2,4,F5
,42,,,sillle14,scottc,6,0,F5
,42,,,sportingelijah,AlanDaTalon,5,1,F5
,42,,,Sirz Benjie,NotAVan,5,1,F6
,42,,,micahstairs,Iras42,1,5,F6
,42,,,Iras42,johntgrizzz,3,3,F6
,42,,,micahstairs,Sirz Benjie,3,3,F6
,42,,,Sirz Benjie,johntgrizzz,5,1,F6
,42,,,Iras42,NotAVan,5,1,F6
,42,,,Iras42,karenttrouble,5,1,F6
,42,,,micahstairs,karenttrouble,3,3,F6
,42,,,Sirz Benjie,karenttrouble,5,1,F6
,42,,,Iras42,Sirz Benjie,4,2,F6
,42,,,micahstairs,johntgrizzz,0,6,F6
,42,,,NotAVan,johntgrizzz,2,1,F6
,42,,,NotAVan,micahstairs,4,2,F6
